Temp(C),Temp(K),Humidity,Pressure,Soil Moisture,Smoke Density,Air Density,Wind Speed,FFMC,DMC,DC,ISI,BUI,FWI,Risk
59.96,333.11,64.49,903.94,36.77,32.28,2.71,7.78,13.79,25.55,68.24,10.73,46.89,50.31,Extreme
59.65,332.8,50.43,900.4,17.82,63.86,2.71,9.58,15.03,15.4,28.21,14.4,21.8,31.39,High
59.1,332.25,85.03,901.12,2.76,56.84,2.71,4.16,9.99,1.5,3.91,4.16,2.71,1.13,Low
59.94,333.09,58.11,901.25,3.46,50.65,2.71,5.19,10.69,1.9,4.38,5.55,3.14,1.74,Low
59.43,332.58,37.06,901.47,16.41,41.19,2.71,2.59,14.42,24.05,20.99,3.73,22.52,8.4,Low
59.57,332.72,66.85,901.47,15.62,32.06,2.71,4.38,7.73,17.63,25.79,3.39,21.71,7.36,Low
59.96,333.11,33.12,902.97,18.43,39.49,2.71,7.09,13.37,16.32,20.88,9.48,18.6,17.63,Medium
59.86,333.01,46.51,902.95,30.26,42.59,2.71,4.45,8.92,35.44,40.02,3.97,37.73,14.98,Medium
59.8,332.95,62.21,902.15,22.86,57.91,2.71,3.56,14.21,20.15,37.31,5.06,28.73,14.54,Medium
59.72,332.87,39.15,901.3,30.55,41.71,2.71,6.04,14.82,19.88,39.32,8.95,29.6,26.49,Medium
58.5,331.65,39.52,903.44,33.79,45.1,2.72,6.37,12.08,41.05,40.48,7.69,40.77,31.35,High
58.68,331.83,77.74,903.96,5.52,51.64,2.72,1.54,10.7,5.34,6.17,1.65,5.75,0.95,Low
58.51,331.66,63.71,900.55,15.67,62.69,2.72,0.81,10.99,15.97,16.93,0.89,16.45,1.46,Low
59.3,332.45,42.31,905.51,38.19,45.43,2.72,6.26,5.22,22.03,59.56,3.27,40.8,13.34,Medium
58.33,331.48,89.45,900.9,6.94,49.64,2.72,9.06,14.96,7.43,12.09,13.55,9.76,13.22,Medium
57.48,330.63,81.87,903.58,32.03,51.78,2.73,9.21,17.01,43.69,44.71,15.67,44.2,69.26,Extreme
57.12,330.27,68.36,903.11,30.14,40.66,2.73,6.54,16.33,17.58,43.69,10.68,30.63,32.71,High
57.84,330.99,84.84,902.18,37.89,64.58,2.73,6.12,9.58,52.5,70.01,5.86,61.26,35.9,High
57.19,330.34,51.25,902.53,39.38,45.97,2.73,7.58,9.04,28.73,69.17,6.85,48.95,33.53,High
58.76,331.91,72.48,906.2,2.12,38.73,2.73,7.74,6.81,1.47,4.13,5.27,2.8,1.48,Low
57.19,330.34,70.57,902.45,12.76,54.62,2.73,1.76,7.57,10.81,22.85,1.33,16.83,2.24,Low
58.88,332.03,57.62,906.99,33.31,44.63,2.73,2.05,8.49,26,33.66,1.74,29.83,5.19,Low
58.94,332.09,88.87,908.25,5.9,34.1,2.73,0.92,16.59,8.81,10.74,1.53,9.78,1.5,Low
57.22,330.37,36.47,902.54,7.13,60.27,2.73,3.99,7.78,5.84,7.92,3.1,6.88,2.13,Low
56.33,329.48,61.48,900.46,8.36,40.44,2.73,7.01,12.2,8.35,12.07,8.55,10.21,8.73,Low
57.77,330.92,73.39,903.63,5.85,30.18,2.73,4.93,14.21,7.96,6.43,7.01,7.2,5.05,Low
57.39,330.54,59.54,903.86,1.53,40.21,2.73,8.79,15.04,1.86,1.83,13.22,1.85,2.45,Low
59.66,332.81,65.4,907.83,17.18,65.59,2.73,4.38,15.94,14.91,19.17,6.98,17.04,11.89,Low
59.17,332.32,62.51,907.94,8.11,36.04,2.73,7.9,14.99,5.24,15.36,11.84,10.3,12.2,Low
57.75,330.9,45.36,904.93,27.18,63.95,2.73,4.28,9.55,32.24,42.3,4.09,37.27,15.24,Medium
57.8,330.95,50.93,904.63,31.15,37.58,2.73,7.95,9.49,18.78,31.17,7.54,24.98,18.83,Medium
56.57,329.72,75.03,900.62,16.6,55.54,2.73,9.13,8.33,17.25,27.25,7.61,22.25,16.93,Medium
57.99,331.14,60.9,904.25,27.9,33.59,2.73,7.07,10,31.89,34.17,7.07,33.03,23.35,Medium
59.5,332.65,48.53,906.98,21.93,66.05,2.73,7.03,14.5,14.37,25.75,10.19,20.06,20.44,Medium
59.34,332.49,85.97,910.44,35.29,62.69,2.74,7.7,14.55,39,55.07,11.2,47.03,52.67,Extreme
55.96,329.11,41.47,903.1,17.51,40.11,2.74,4.61,8.33,13.07,22.04,3.84,17.55,6.74,Low
56.58,329.73,39.29,902.8,9.99,54.74,2.74,6.37,14.66,7.82,19.22,9.34,13.52,12.63,Low
56.29,329.44,40.93,901.66,8.67,42.59,2.74,8.28,8.03,11.17,12.68,6.65,11.93,7.93,Low
57.4,330.55,77.46,905.61,8.09,52.38,2.74,8.44,10.82,6.33,9.18,9.13,7.75,7.08,Low
58.22,331.37,67.97,909.32,29.93,61.83,2.74,2.07,14.01,38.79,30.19,2.9,34.49,10,Low
55.99,329.14,68.12,900.52,3.34,62.01,2.74,5.83,16.23,2.49,5.42,9.46,3.96,3.75,Low
58.77,331.92,76.84,908.99,4.7,53.05,2.74,7.67,16.21,5.24,9.21,12.43,7.23,8.99,Low
56.63,329.78,36.33,904.57,5.23,62.91,2.74,1.58,10.95,7.68,10.04,1.73,8.86,1.53,Low
58.84,331.99,65.66,908.83,19.35,33.35,2.74,6.38,13.29,11.92,33.14,8.48,22.53,19.11,Medium
59.95,333.1,55.86,911.75,31.19,43.01,2.74,6.75,6.88,43.47,47.52,4.64,45.5,21.11,Medium
54.75,327.9,62.91,900.89,29.4,46.39,2.75,8.39,15.74,32.41,54.69,13.21,43.55,57.53,Extreme
59.86,333.01,89.51,916.23,22.18,61.7,2.75,6.52,15.69,27.64,34.18,10.23,30.91,31.62,High
58.14,331.29,35.12,911.96,31.84,47.05,2.75,8.52,9.02,39.14,47.63,7.69,43.39,33.37,High
57.3,330.45,67.69,907.51,36.7,43.72,2.75,4.94,16.18,21.36,57.06,7.99,39.21,31.33,High
57.06,330.21,85.37,908.69,28.16,57.88,2.75,8.22,12.48,22.2,47.19,10.26,34.7,35.6,High
58.85,332,71.37,914.55,26.95,64.27,2.75,8.12,13.03,37.47,37.95,10.58,37.71,39.9,High
55.05,328.2,36.9,902.71,3.14,60.58,2.75,2.71,6.25,4.26,4.62,1.69,4.44,0.75,Low
54.19,327.34,86.08,901.75,31.26,59.51,2.75,5.46,7.49,18.07,44.49,4.09,31.28,12.79,Low
56.47,329.62,57.53,907.43,3.74,45.91,2.75,5.47,7.58,4.94,5.86,4.15,5.4,2.24,Low
57.91,331.06,85.45,909.8,17.53,43.21,2.75,2.37,8.31,22.06,30.99,1.97,26.52,5.22,Low
57.19,330.34,56.82,907.76,6.03,66.71,2.75,4.86,8.36,4.16,6.56,4.06,5.36,2.18,Low
56.39,329.54,68.82,906.92,20.03,66.69,2.75,1.72,14.5,15.07,31.6,2.49,23.34,5.81,Low
57.47,330.62,56.16,907.74,14.7,40.49,2.75,6.37,8.25,16.76,24.74,5.26,20.75,10.91,Low
54.52,327.67,56.3,901.66,1.93,32.58,2.75,7.76,14.37,2.52,2.21,11.15,2.37,2.64,Low
