iter	Passed	Remaining
0	49	24519
1	68	16987
2	104	17321
3	122	15220
4	139	13842
5	157	12946
6	172	12156
7	188	11566
8	204	11135
9	220	10780
10	235	10486
11	253	10294
12	274	10286
13	290	10074
14	305	9876
15	323	9787
16	340	9661
17	355	9518
18	370	9390
19	386	9272
20	401	9154
21	419	9110
22	434	9006
23	449	8922
24	466	8855
25	481	8781
26	497	8707
27	513	8650
28	529	8594
29	544	8535
30	562	8514
31	578	8456
32	594	8408
33	610	8361
34	626	8318
35	642	8275
36	658	8235
37	674	8195
38	690	8157
39	706	8130
40	722	8092
41	739	8065
42	756	8035
43	772	8006
44	788	7972
45	804	7943
46	821	7913
47	838	7899
48	854	7866
49	870	7834
50	886	7803
51	902	7775
52	921	7770
53	937	7743
54	953	7718
55	970	7696
56	988	7681
57	1006	7667
58	1021	7636
59	1039	7621
60	1055	7593
61	1070	7561
62	1085	7529
63	1102	7509
64	1118	7484
65	1138	7489
66	1156	7472
67	1173	7454
68	1192	7451
69	1212	7447
70	1227	7418
71	1244	7397
72	1262	7382
73	1277	7354
74	1293	7327
75	1308	7302
76	1326	7285
77	1343	7268
78	1359	7247
79	1378	7235
80	1393	7209
81	1408	7180
82	1424	7155
83	1441	7136
84	1456	7108
85	1471	7084
86	1487	7060
87	1503	7041
88	1521	7024
89	1537	7002
90	1553	6983
91	1569	6960
92	1585	6937
93	1601	6916
94	1617	6894
95	1633	6872
96	1650	6856
97	1668	6842
98	1682	6816
99	1698	6794
100	1715	6775
101	1730	6752
102	1746	6731
103	1762	6711
104	1778	6689
105	1794	6668
106	1812	6657
107	1828	6635
108	1843	6614
109	1859	6593
110	1875	6572
111	1891	6552
112	1907	6533
113	1924	6515
114	1941	6500
115	1960	6488
116	1975	6465
117	1990	6444
118	2007	6426
119	2024	6409
120	2042	6399
121	2058	6376
122	2072	6353
123	2087	6331
124	2105	6317
125	2120	6295
126	2136	6274
127	2153	6257
128	2170	6241
129	2185	6219
130	2201	6199
131	2217	6183
132	2238	6177
133	2254	6158
134	2269	6136
135	2284	6114
136	2299	6092
137	2314	6071
138	2330	6051
139	2346	6033
140	2361	6013
141	2380	6001
142	2395	5980
143	2412	5964
144	2427	5944
145	2443	5924
146	2459	5906
147	2475	5888
148	2491	5868
149	2506	5849
150	2522	5830
151	2538	5812
152	2554	5794
153	2571	5776
154	2587	5759
155	2603	5740
156	2618	5721
157	2633	5701
158	2649	5681
159	2665	5664
160	2681	5647
161	2697	5627
162	2712	5608
163	2730	5594
164	2745	5574
165	2761	5556
166	2777	5538
167	2793	5520
168	2808	5500
169	2823	5480
170	2839	5463
171	2854	5443
172	2871	5428
173	2887	5409
174	2902	5389
175	2917	5369
176	2934	5355
177	2952	5341
178	2970	5327
179	2989	5314
180	3006	5298
181	3022	5281
182	3041	5267
183	3057	5251
184	3073	5233
185	3089	5215
186	3105	5197
187	3122	5182
188	3138	5165
189	3155	5148
190	3171	5130
191	3187	5113
192	3203	5095
193	3219	5077
194	3235	5060
195	3255	5048
196	3274	5036
197	3293	5023
198	3314	5013
199	3335	5003
200	3354	4990
201	3373	4976
202	3395	4968
203	3420	4962
204	3436	4945
205	3452	4927
206	3467	4908
207	3482	4888
208	3497	4869
209	3514	4853
210	3529	4834
211	3545	4816
212	3564	4802
213	3579	4783
214	3595	4765
215	3610	4746
216	3625	4728
217	3642	4711
218	3658	4694
219	3674	4676
220	3691	4659
221	3708	4643
222	3725	4628
223	3740	4609
224	3755	4590
225	3771	4572
226	3787	4554
227	3802	4536
228	3818	4519
229	3836	4503
230	3852	4485
231	3867	4467
232	3883	4449
233	3899	4432
234	3914	4414
235	3930	4397
236	3948	4381
237	3966	4366
238	3983	4350
239	3999	4332
240	4015	4315
241	4034	4301
242	4049	4282
243	4064	4263
244	4079	4245
245	4095	4228
246	4113	4213
247	4128	4195
248	4144	4177
249	4159	4159
250	4175	4142
251	4192	4125
252	4208	4108
253	4224	4091
254	4240	4074
255	4258	4058
256	4274	4041
257	4290	4024
258	4306	4006
259	4321	3988
260	4335	3970
261	4351	3952
262	4366	3934
263	4383	3918
264	4399	3901
265	4415	3884
266	4431	3867
267	4447	3850
268	4464	3833
269	4480	3816
270	4496	3799
271	4513	3783
272	4532	3769
273	4556	3757
274	4576	3744
275	4599	3733
276	4621	3720
277	4643	3708
278	4669	3698
279	4690	3685
280	4714	3674
281	4735	3660
282	4753	3645
283	4772	3629
284	4790	3614
285	4807	3597
286	4823	3579
287	4839	3562
288	4857	3546
289	4875	3530
290	4891	3512
291	4905	3494
292	4920	3476
293	4936	3458
294	4952	3441
295	4984	3434
296	5000	3417
297	5017	3401
298	5036	3385
299	5054	3369
300	5068	3350
301	5083	3332
302	5097	3314
303	5114	3297
304	5130	3279
305	5146	3262
306	5163	3245
307	5178	3228
308	5195	3211
309	5211	3194
310	5227	3176
311	5243	3159
312	5259	3142
313	5276	3125
314	5295	3110
